Date,Time,Serial,Result,C1,C2,C3,C4,C5,C6,C7
18-02-2026,00:31:52,SN-5946,NG,0.866,0.926,0.9,0.384,0.854,1.176,0.43
18-02-2026,00:31:56,SN-2774,NG,0.263,0.627,0.642,0.143,0.912,0.188,1.102
18-02-2026,00:31:58,SN-1461,NG,0.989,0.859,0.315,0.567,0.877,1.024,0.68
18-02-2026,00:32:00,SN-2683,NG,0.885,0.491,0.271,1.15,0.48,0.775,0.372
18-02-2026,00:32:04,SN-5580,NG,0.157,0.517,0.83,0.52,1.079,0.6,0.294
18-02-2026,00:32:05,SN-8735,NG,0.649,0.889,0.97,1.152,0.248,0.995,1.093
18-02-2026,00:32:06,SN-2456,NG,0.44,0.986,0.142,0.663,0.309,0.867,1.088
18-02-2026,00:32:11,SN-7016,NG,0.426,1.004,0.139,0.457,0.496,0.741,0.838
18-02-2026,00:32:17,SN-2602,NG,0.424,0.159,0.268,0.669,0.813,0.901,0.396
18-02-2026,00:32:20,SN-3254,NG,0.663,0.571,0.939,0.186,0.317,0.509,0.23
18-02-2026,00:32:31,SN-7621,OK,0.701,0.376,0.387,0.127,0.382,0.751,0.261
18-02-2026,00:32:33,SN-9640,NG,0.152,0.568,0.111,0.875,1.161,0.114,0.701
18-02-2026,00:32:40,SN-9033,NG,0.317,0.987,0.8,0.749,1.051,1.062,0.611
18-02-2026,00:32:45,SN-7382,NG,0.175,0.289,0.387,0.374,0.802,1.012,0.783
18-02-2026,00:32:51,SN-6828,NG,0.473,0.387,0.318,0.768,0.314,1.087,0.313
18-02-2026,00:32:52,SN-9891,NG,0.358,0.927,0.703,0.738,0.348,0.593,1.019
18-02-2026,00:32:53,SN-7471,NG,0.95,0.566,0.161,0.684,0.789,0.582,0.323
18-02-2026,00:33:02,SN-6897,NG,0.228,0.562,0.101,0.163,1.153,0.527,0.456
18-02-2026,00:33:03,SN-8388,NG,1.071,0.337,0.768,0.41,0.885,0.994,0.549
18-02-2026,00:33:11,SN-3419,NG,0.241,0.964,1.091,0.275,0.265,0.326,0.964
18-02-2026,00:33:12,SN-7198,NG,1.06,0.473,0.583,1.178,0.432,0.215,1.119
18-02-2026,00:33:13,SN-5482,OK,0.691,0.248,0.413,0.495,0.504,0.726,0.701
18-02-2026,00:33:25,SN-2133,NG,0.743,0.392,0.904,0.758,1.17,0.818,0.49
18-02-2026,00:33:26,SN-9270,NG,1.164,0.239,0.58,1.105,0.276,0.713,1.07
18-02-2026,00:33:32,SN-6162,NG,1.15,1.056,0.239,0.307,0.915,0.982,0.215
18-02-2026,00:33:33,SN-6330,NG,0.489,1.038,0.641,0.368,0.835,0.816,0.956
18-02-2026,00:33:34,SN-6781,NG,0.871,0.798,1.105,1.159,0.876,0.455,0.115
18-02-2026,00:33:43,SN-1437,OK,0.336,0.786,0.259,0.401,0.318,0.674,0.193
18-02-2026,00:33:50,SN-9526,NG,0.267,0.731,0.786,0.408,0.232,0.68,0.888
18-02-2026,00:33:56,SN-2748,OK,0.289,0.335,0.339,0.12,0.79,0.735,0.28
18-02-2026,00:33:57,SN-4482,NG,1.107,0.568,0.576,0.452,0.274,1.068,0.231
18-02-2026,00:33:57,SN-1754,NG,0.884,0.166,1.183,0.496,0.701,0.756,0.492
18-02-2026,00:34:01,SN-1644,NG,0.323,0.951,0.357,0.817,1.078,0.418,0.479
18-02-2026,00:34:08,SN-8108,NG,0.274,0.953,0.922,0.732,0.655,0.386,0.307
18-02-2026,00:34:13,SN-6557,NG,1.067,0.963,0.34,0.799,0.366,0.887,0.661
18-02-2026,00:34:19,SN-5687,NG,0.215,0.716,0.164,0.914,1.029,1.104,1.116
18-02-2026,00:34:20,SN-5298,NG,0.134,1.171,0.234,0.725,0.634,0.594,0.641
18-02-2026,00:34:21,SN-8368,NG,0.694,0.314,0.224,1.001,0.211,0.339,0.705
18-02-2026,00:34:25,SN-2570,NG,0.281,0.898,0.917,0.796,0.695,0.376,1.142
18-02-2026,00:34:28,SN-1916,NG,1.192,0.8,0.918,1.0,0.148,0.859,0.859
18-02-2026,00:34:28,SN-2426,NG,0.929,1.01,0.692,0.433,0.637,1.074,1.087
18-02-2026,00:34:29,SN-7544,NG,1.142,0.722,0.339,0.338,0.406,0.312,0.424
18-02-2026,00:34:31,SN-3084,NG,0.252,1.076,1.031,0.55,0.776,1.194,0.736
18-02-2026,00:34:32,SN-4575,NG,0.921,0.229,0.291,0.352,0.313,0.345,0.851
18-02-2026,00:34:35,SN-4583,NG,0.741,0.128,1.05,0.926,0.152,0.624,0.325
18-02-2026,02:07:31,SN-4116,NG,0.652,0.115,0.471,0.361,0.794,0.383,1.134
18-02-2026,02:07:32,SN-9269,OK,0.145,0.675,0.731,0.676,0.771,0.172,0.597
18-02-2026,02:39:11,SN-3780,NG,0.876,0.5,0.882,0.108,0.715,1.151,0.371
18-02-2026,02:39:12,SN-2583,NG,0.208,0.85,0.64,0.707,0.736,0.704,0.613
18-02-2026,02:39:13,SN-1838,NG,0.135,0.53,1.005,0.524,0.807,0.644,0.773
18-02-2026,02:39:19,SN-9294,NG,0.519,0.481,1.019,0.829,0.812,0.594,0.287
18-02-2026,02:39:25,SN-3308,NG,1.105,0.423,0.718,0.996,0.853,1.199,0.525
18-02-2026,02:39:34,SN-1158,NG,0.987,0.286,1.111,0.474,1.094,0.942,0.133
18-02-2026,02:40:46,SN-1037,NG,0.459,0.438,0.325,0.978,0.918,0.639,0.975
18-02-2026,02:40:49,SN-3214,NG,0.696,0.365,0.922,0.572,0.429,0.936,0.967
18-02-2026,02:40:51,SN-4278,NG,0.114,0.474,0.653,0.835,0.549,0.622,0.996
18-02-2026,02:40:51,SN-7518,NG,0.52,1.038,0.804,0.984,0.596,0.864,0.118
18-02-2026,02:40:52,SN-3065,NG,1.134,0.24,0.548,1.188,0.138,0.527,0.599
18-02-2026,02:41:03,SN-3892,NG,0.783,0.733,0.896,1.005,0.635,0.216,0.857
18-02-2026,02:41:11,SN-7175,NG,1.193,0.613,0.807,0.882,0.368,0.55,1.161
18-02-2026,02:41:14,SN-4124,NG,0.244,0.347,0.269,1.028,0.161,0.615,0.379
18-02-2026,02:41:17,SN-9907,NG,0.139,0.447,1.099,0.856,0.767,0.623,0.629
18-02-2026,02:41:17,SN-1097,NG,1.028,0.971,0.395,0.213,0.29,1.084,0.541
18-02-2026,02:41:18,SN-4577,NG,0.305,1.002,1.054,0.965,0.516,0.436,0.45
18-02-2026,02:41:24,SN-2086,NG,0.43,1.183,0.505,0.267,0.891,0.221,0.997
18-02-2026,02:41:26,SN-1197,OK,0.354,0.255,0.364,0.721,0.726,0.651,0.591
18-02-2026,02:41:26,SN-6787,NG,0.166,0.391,0.731,0.434,0.187,0.964,0.694
18-02-2026,02:41:27,SN-1464,OK,0.615,0.284,0.215,0.238,0.193,0.581,0.359
18-02-2026,02:41:31,SN-6517,NG,1.187,1.124,0.28,0.115,0.742,0.563,0.838
18-02-2026,02:41:36,SN-9703,NG,0.491,0.16,1.187,0.442,0.622,1.095,0.619
18-02-2026,02:41:39,SN-1768,NG,0.519,0.609,0.874,0.291,1.072,0.969,0.576
18-02-2026,02:41:41,SN-2490,NG,0.566,0.257,0.986,1.162,0.326,0.45,0.435
18-02-2026,02:41:48,SN-3075,NG,0.672,0.714,0.674,0.884,0.244,1.046,1.067
18-02-2026,02:41:51,SN-5311,NG,0.61,0.935,0.181,0.852,0.401,0.127,0.594
18-02-2026,02:41:54,SN-4040,NG,0.671,0.857,0.564,0.781,0.291,0.168,1.098
18-02-2026,02:41:56,SN-4654,NG,0.697,0.175,1.033,0.953,0.769,1.081,0.673
18-02-2026,02:41:58,SN-8650,NG,0.698,0.595,0.664,0.815,0.24,0.926,0.723
18-02-2026,02:41:58,SN-1878,NG,0.227,0.75,0.625,1.188,0.306,0.274,1.039
18-02-2026,02:41:59,SN-3314,NG,0.79,0.25,0.818,0.986,0.711,0.348,0.163
18-02-2026,02:42:02,SN-9111,NG,0.237,0.763,0.23,0.637,0.657,1.06,0.3
18-02-2026,02:42:06,SN-6391,NG,0.97,0.477,0.775,0.575,0.915,0.809,0.309
18-02-2026,02:42:13,SN-6836,NG,1.188,0.915,0.548,0.383,0.655,0.19,0.221
18-02-2026,02:42:14,SN-5317,NG,1.014,0.419,0.259,0.807,1.008,1.157,0.673
18-02-2026,02:42:39,SN-4707,NG,1.17,1.109,0.809,1.189,0.99,0.407,0.378
18-02-2026,02:42:41,SN-3793,NG,1.12,0.34,0.728,0.118,0.17,0.332,0.367
18-02-2026,02:42:49,SN-9859,NG,0.161,0.218,0.761,0.928,0.606,1.138,0.919
18-02-2026,02:42:49,SN-3510,NG,0.108,1.116,0.18,1.076,0.61,0.185,0.264
18-02-2026,02:42:53,SN-3747,NG,0.718,1.172,0.403,0.404,0.768,1.11,0.352
18-02-2026,02:42:54,SN-3883,NG,0.294,0.444,0.753,0.901,0.925,0.288,0.188
18-02-2026,02:42:56,SN-3888,NG,0.556,0.481,0.334,0.384,0.945,1.12,0.164
18-02-2026,02:42:56,SN-8376,OK,0.406,0.236,0.73,0.37,0.631,0.399,0.781
18-02-2026,02:43:08,SN-5106,NG,0.129,0.364,0.268,0.801,0.189,1.079,0.289
18-02-2026,02:43:08,SN-6655,NG,0.127,0.956,0.776,0.772,0.99,0.76,0.151
18-02-2026,02:43:21,SN-2579,NG,1.116,1.167,0.23,0.212,0.946,1.085,1.099
18-02-2026,02:43:30,SN-2878,NG,0.806,0.468,0.56,1.038,0.802,1.005,0.22
18-02-2026,02:43:31,SN-9891,NG,0.456,0.822,1.128,0.718,0.727,0.768,1.132
18-02-2026,02:43:49,SN-1461,NG,1.126,0.598,1.074,0.525,0.37,0.866,0.349
18-02-2026,02:43:51,SN-1524,NG,0.941,0.261,0.682,0.131,0.201,0.174,0.516
18-02-2026,02:43:52,SN-4541,NG,0.635,0.759,0.251,1.075,0.408,1.193,0.785
18-02-2026,02:43:57,SN-4574,NG,0.364,0.985,1.114,0.328,0.371,0.584,0.145
18-02-2026,02:43:59,SN-2221,NG,1.173,1.108,0.744,1.047,0.385,0.322,0.499
18-02-2026,02:44:04,SN-8323,NG,0.462,0.829,0.903,0.891,0.178,0.257,0.16
18-02-2026,02:44:06,SN-2148,NG,0.241,0.797,0.77,0.858,1.028,0.251,0.951
18-02-2026,02:44:12,SN-3620,NG,0.839,0.494,1.07,0.926,0.978,0.652,1.142
18-02-2026,02:44:14,SN-2295,NG,1.112,1.039,0.509,0.496,0.148,0.693,0.781
18-02-2026,02:44:15,SN-9216,NG,0.114,1.065,0.727,0.599,0.712,1.023,1.11
18-02-2026,02:44:36,SN-7386,NG,0.575,0.45,1.036,0.947,1.047,0.201,1.188
18-02-2026,02:44:38,SN-3654,NG,0.663,0.532,0.834,0.263,0.667,0.126,0.387
18-02-2026,02:44:55,SN-6822,NG,0.137,0.896,0.736,0.829,0.735,1.178,0.893
18-02-2026,02:45:06,SN-6437,NG,0.523,0.875,0.16,0.51,0.857,0.704,0.919
18-02-2026,02:45:13,SN-1117,NG,0.435,0.468,0.217,0.326,0.322,0.19,1.154
18-02-2026,02:45:15,SN-1807,NG,0.778,1.038,1.164,0.12,0.104,0.485,0.934
18-02-2026,02:45:22,SN-5471,NG,0.363,0.717,0.888,0.291,0.349,0.82,0.429
18-02-2026,02:45:26,SN-9014,NG,0.967,0.496,0.658,1.077,0.885,0.294,0.34
18-02-2026,02:45:32,SN-2795,NG,1.13,0.898,0.795,0.296,0.566,1.131,0.704
18-02-2026,02:45:39,SN-2860,NG,0.667,1.161,0.989,0.177,0.457,0.208,0.932
18-02-2026,02:45:40,SN-4623,NG,0.313,1.092,1.092,1.12,0.762,0.877,1.13
18-02-2026,02:45:40,SN-4628,NG,0.918,0.523,0.662,0.463,0.552,0.853,0.941
18-02-2026,02:45:48,SN-6536,NG,1.121,0.764,0.622,0.281,1.056,0.722,0.461
18-02-2026,02:45:59,SN-3228,NG,0.748,1.015,0.787,0.773,0.617,0.254,0.99
18-02-2026,02:46:08,SN-1247,NG,0.745,0.771,0.208,0.455,0.989,0.994,0.832
18-02-2026,02:46:11,SN-8726,NG,0.965,0.808,0.341,0.641,0.273,1.152,0.425
18-02-2026,02:46:14,SN-6399,NG,0.707,0.455,1.045,0.219,0.753,0.228,0.296
18-02-2026,02:46:21,SN-4092,NG,0.686,0.605,1.015,0.247,1.072,0.428,0.482
18-02-2026,02:46:22,SN-9492,NG,0.449,0.184,0.612,0.181,1.015,0.662,0.535
18-02-2026,02:46:24,SN-3566,NG,0.795,0.9,1.065,1.07,1.013,0.827,0.214
18-02-2026,02:46:27,SN-2635,NG,0.874,0.885,0.848,0.224,0.877,1.107,0.244
18-02-2026,02:46:28,SN-5750,NG,0.938,1.111,0.877,0.944,0.314,0.304,0.808
18-02-2026,02:46:29,SN-8613,NG,0.181,0.875,1.059,0.848,0.803,0.748,0.47
18-02-2026,02:46:36,SN-8744,NG,1.023,0.422,0.439,0.826,0.951,0.249,0.839
18-02-2026,02:46:37,SN-2756,NG,0.871,1.027,1.008,0.609,1.097,0.464,0.304
18-02-2026,02:46:37,SN-4300,NG,1.066,1.189,0.367,0.525,1.117,1.01,0.722
18-02-2026,02:46:38,SN-5545,NG,1.049,0.252,0.802,1.095,1.084,0.594,0.947
18-02-2026,02:46:39,SN-9561,NG,0.935,0.754,0.671,0.454,1.099,0.326,0.673
18-02-2026,02:46:48,SN-3998,NG,0.218,0.521,0.366,0.965,1.162,1.162,0.751
18-02-2026,02:46:51,SN-5776,OK,0.137,0.17,0.587,0.315,0.484,0.167,0.798
18-02-2026,02:46:52,SN-1326,NG,0.6,0.247,0.929,1.07,0.91,0.684,0.41
18-02-2026,02:46:59,SN-4228,NG,1.142,0.728,0.637,0.269,0.186,0.382,0.969
18-02-2026,02:47:02,SN-9288,NG,0.697,0.436,0.986,1.074,0.408,0.336,0.317
18-02-2026,02:47:07,SN-6245,NG,0.613,0.469,0.893,0.437,0.16,1.128,0.85
18-02-2026,02:47:22,SN-3122,OK,0.886,0.845,0.392,0.612,0.373,0.551,0.567
18-02-2026,02:47:26,SN-3076,OK,0.348,0.605,0.421,0.365,0.191,0.897,0.849
18-02-2026,02:47:27,SN-7450,NG,0.363,1.123,0.7,0.996,1.099,1.068,0.875
18-02-2026,02:47:38,SN-9030,NG,0.385,1.017,0.163,1.038,0.927,0.439,0.551
18-02-2026,02:47:50,SN-4975,OK,0.292,0.655,0.195,0.498,0.161,0.673,0.666
18-02-2026,02:47:53,SN-4793,OK,0.517,0.169,0.436,0.83,0.755,0.812,0.131
18-02-2026,02:47:54,SN-5582,NG,0.858,0.266,1.0,0.495,0.184,0.197,0.152
18-02-2026,02:47:57,SN-3219,NG,0.233,0.251,0.236,1.15,1.139,0.897,0.44
18-02-2026,02:48:29,SN-9223,NG,0.657,0.319,0.179,1.097,1.111,0.298,1.035
18-02-2026,02:48:35,SN-9385,OK,0.841,0.555,0.476,0.501,0.333,0.349,0.57
18-02-2026,02:48:41,SN-5758,NG,0.935,0.567,1.018,1.061,0.784,0.772,0.56
18-02-2026,02:48:44,SN-3523,OK,0.749,0.186,0.826,0.332,0.659,0.549,0.291
18-02-2026,02:48:44,SN-6206,NG,0.794,1.024,0.418,0.267,0.489,0.757,0.954
18-02-2026,02:48:48,SN-1822,NG,1.146,0.237,1.094,0.164,0.834,0.714,1.019
18-02-2026,02:48:53,SN-6893,OK,0.487,0.357,0.533,0.515,0.411,0.94,0.203
18-02-2026,02:48:54,SN-6731,NG,0.362,0.927,0.808,0.381,0.788,0.973,1.093
18-02-2026,02:48:55,SN-3488,NG,1.083,0.661,0.435,0.599,1.199,0.814,0.453
18-02-2026,02:49:00,SN-7194,NG,0.943,0.432,0.943,1.171,0.142,0.46,0.678
18-02-2026,02:49:13,SN-2047,NG,0.399,0.932,0.34,1.032,0.412,0.487,1.138
18-02-2026,02:49:14,SN-3427,NG,0.894,0.227,0.447,0.3,0.483,1.148,0.983
18-02-2026,02:49:22,SN-6465,OK,0.925,0.924,0.547,0.949,0.291,0.529,0.714
18-02-2026,02:49:27,SN-8137,OK,0.347,0.49,0.682,0.85,0.194,0.122,0.274
18-02-2026,02:49:27,SN-6828,NG,0.54,0.122,0.558,0.175,0.986,1.132,1.06
18-02-2026,02:49:28,SN-4611,NG,0.701,1.168,0.238,0.763,0.268,1.191,0.402
18-02-2026,02:49:28,SN-6236,NG,0.505,1.105,0.395,1.159,1.137,0.42,0.422
18-02-2026,02:49:29,SN-4158,OK,0.719,0.854,0.959,0.454,0.461,0.892,0.556
18-02-2026,02:49:34,SN-6324,NG,0.852,0.746,0.404,0.15,0.356,0.512,1.132
18-02-2026,02:49:36,SN-5346,OK,0.12,0.112,0.432,0.558,0.86,0.958,0.726
18-02-2026,02:49:39,SN-7815,NG,0.242,1.146,0.8,0.899,0.645,1.195,0.837
18-02-2026,02:49:48,SN-5397,NG,0.791,0.142,1.136,0.646,0.385,0.444,0.245
18-02-2026,02:49:51,SN-9946,NG,0.948,1.14,0.999,0.46,0.121,0.812,0.593
18-02-2026,02:50:06,SN-8846,NG,1.037,0.546,0.25,0.309,0.543,0.98,1.125
18-02-2026,02:50:06,SN-6900,NG,0.8,0.13,0.586,0.49,0.671,1.182,0.93
18-02-2026,02:50:08,SN-4880,NG,1.092,0.349,0.83,1.107,0.763,0.994,1.08
18-02-2026,02:50:12,SN-1484,OK,0.943,0.857,0.893,0.503,0.143,0.644,0.801
18-02-2026,02:50:12,SN-8603,NG,0.653,1.156,0.523,0.933,0.787,0.606,0.172
18-02-2026,02:50:17,SN-5117,NG,0.168,0.937,1.173,0.972,0.484,0.755,1.134
18-02-2026,02:50:17,SN-9230,OK,0.717,0.649,0.152,0.667,0.435,0.651,0.631
18-02-2026,02:50:19,SN-6304,NG,1.041,0.464,0.871,0.929,0.493,0.271,0.531
18-02-2026,02:50:20,SN-9329,NG,0.535,0.485,1.173,0.281,0.663,0.456,0.893
18-02-2026,02:50:21,SN-2422,NG,1.101,0.728,1.018,0.563,1.087,0.66,1.009
18-02-2026,02:50:24,SN-9988,OK,0.956,0.402,0.718,0.776,0.448,0.857,0.45
18-02-2026,02:50:25,SN-5089,NG,0.503,0.594,0.333,0.521,0.946,1.057,1.052
18-02-2026,02:50:26,SN-4528,OK,0.24,0.732,0.688,0.977,0.556,0.175,0.829
18-02-2026,02:50:28,SN-5409,NG,1.046,1.091,0.894,1.188,0.957,0.737,0.975
18-02-2026,02:50:30,SN-3625,NG,0.138,0.846,0.317,1.126,0.126,0.244,0.972
18-02-2026,02:50:36,SN-3824,NG,1.163,1.139,0.149,0.454,0.88,0.664,1.038
18-02-2026,02:50:38,SN-3327,NG,0.588,0.103,0.42,0.291,0.374,0.473,0.75
18-02-2026,02:50:40,SN-9664,NG,0.341,0.758,1.106,0.829,0.112,0.108,0.728
18-02-2026,02:50:42,SN-7055,NG,0.458,0.425,0.105,0.869,0.722,0.14,0.206
18-02-2026,02:50:58,SN-1641,NG,0.35,1.012,0.56,1.086,1.192,0.781,0.943
18-02-2026,02:51:09,SN-4910,NG,0.263,0.843,0.99,0.188,0.759,1.155,1.168
18-02-2026,02:51:10,SN-6048,NG,0.401,1.197,0.225,0.372,1.119,0.499,0.306
18-02-2026,02:51:13,SN-1852,NG,0.503,0.26,0.542,0.461,1.135,0.424,0.703
18-02-2026,02:51:16,SN-6532,NG,1.048,0.137,0.884,0.546,0.289,1.056,0.202
18-02-2026,02:51:18,SN-2806,NG,1.178,0.899,1.184,0.752,1.041,0.841,0.152
18-02-2026,02:51:18,SN-1202,NG,0.404,0.999,1.029,0.847,0.585,1.11,0.356
18-02-2026,02:51:19,SN-9362,NG,0.179,0.462,0.28,0.902,0.686,0.966,0.168
18-02-2026,02:51:40,SN-9479,NG,1.106,1.17,0.515,0.901,0.342,0.642,1.041
18-02-2026,02:51:49,SN-7526,NG,0.246,1.048,0.717,0.805,1.045,0.602,0.373
18-02-2026,02:51:49,SN-4451,NG,1.066,0.223,1.084,0.656,0.947,0.144,0.803
18-02-2026,02:51:53,SN-2587,NG,0.67,0.342,0.353,0.177,0.597,0.418,0.69
18-02-2026,02:51:55,SN-9414,NG,0.414,0.674,0.579,0.464,0.68,0.292,0.615
18-02-2026,02:51:56,SN-1658,NG,1.139,0.411,0.135,1.166,1.095,1.02,0.501
18-02-2026,02:51:59,SN-2084,NG,0.642,1.125,0.172,0.34,0.486,0.629,0.159
18-02-2026,02:52:04,SN-9228,NG,0.756,0.829,0.739,1.084,0.439,1.197,0.232
18-02-2026,02:52:05,SN-2919,NG,0.326,0.243,0.143,1.199,0.421,0.462,0.222
18-02-2026,02:52:07,SN-3170,NG,1.101,0.628,0.205,0.728,0.643,0.74,0.709
18-02-2026,02:52:12,SN-4890,NG,0.568,0.598,1.059,0.68,0.848,0.475,0.176
18-02-2026,02:52:13,SN-3212,NG,0.765,0.719,0.553,0.718,0.388,0.787,0.98
18-02-2026,02:52:15,SN-7585,NG,0.977,0.63,0.264,0.822,0.543,0.74,0.751
18-02-2026,02:52:17,SN-3813,NG,0.382,0.931,0.996,0.331,0.784,0.204,0.252
18-02-2026,02:52:23,SN-2091,NG,0.891,0.534,0.385,0.169,0.922,0.979,0.278
18-02-2026,02:52:24,SN-7708,NG,0.234,0.887,0.947,0.295,0.582,0.916,0.373
18-02-2026,02:52:30,SN-6651,NG,1.003,0.535,0.77,1.024,1.046,0.328,0.169
18-02-2026,02:52:40,SN-7340,NG,1.19,0.544,0.252,0.179,0.954,0.155,0.552
18-02-2026,02:52:48,SN-8495,NG,0.392,0.623,0.971,0.332,0.44,0.693,1.154
18-02-2026,02:52:55,SN-1569,NG,0.682,0.705,0.627,1.109,0.772,0.671,0.765
18-02-2026,02:52:57,SN-7777,NG,0.541,0.851,1.152,0.835,1.166,0.517,0.136
18-02-2026,02:53:06,SN-7111,NG,0.766,0.171,0.67,0.573,0.525,0.803,0.682
18-02-2026,02:53:15,SN-5229,NG,0.281,0.844,0.664,0.17,0.147,0.397,0.278
18-02-2026,02:53:17,SN-3503,NG,0.584,0.677,0.673,1.011,0.88,0.244,0.735
18-02-2026,02:53:19,SN-6871,NG,0.808,0.154,0.958,1.184,0.739,0.378,1.114
18-02-2026,02:53:23,SN-8369,NG,1.09,0.666,0.544,0.67,0.129,1.027,1.113
18-02-2026,02:53:25,SN-8189,NG,0.283,1.156,1.173,0.102,0.941,0.968,0.541
18-02-2026,02:53:28,SN-1177,NG,0.803,0.429,0.147,0.966,1.133,1.108,0.372
18-02-2026,02:53:30,SN-3390,NG,1.007,0.178,1.191,0.306,1.001,0.318,0.698
18-02-2026,02:53:43,SN-7439,NG,0.144,0.912,0.238,0.612,0.718,1.179,0.496
18-02-2026,02:53:48,SN-9769,NG,0.151,0.801,1.088,0.754,0.537,0.786,0.219
18-02-2026,02:53:54,SN-1266,NG,1.022,0.563,0.696,0.564,0.909,0.415,0.899
18-02-2026,02:53:55,SN-8069,NG,0.511,0.366,0.146,0.655,0.46,0.789,0.539
18-02-2026,02:53:55,SN-2688,NG,0.479,0.275,0.138,0.765,0.493,1.076,1.042
